Symbol,Name,NumAppearances,Holders,DiffEntries,DiffValue
ASML,ASML Holding NV ADR,65,"[('EWN', 0.24), ('IDMO', 0.089), ('FEZ', 0.081), ('IMTM', 0.064), ('HEDJ', 0.06)]",0,0
V,Visa Inc Class A,63,"[('IYG', 0.097), ('IYF', 0.06), ('IPAY', 0.058), ('PALC', 0.047), ('JOYY', 0.046)]",0,0
00700,Tencent Holdings Ltd,56,"[('MCHI', 0.133), ('GXC', 0.124), ('CXSE', 0.119), ('AIA', 0.117), ('KWEB', 0.106)]",1,0
NOVN,Novartis AG,56,"[('EWL', 0.106), ('HDEF', 0.051), ('HART', 0.049), ('HDAW', 0.044), ('DTH', 0.042)]",1,0
VZ,Verizon Communications Inc,54,"[('IYZ', 0.213), ('LTL', 0.167), ('FDL', 0.071), ('HDV', 0.063), ('DJD', 0.061)]",0,0
UNH,UnitedHealth Group Inc,53,"[('IHF', 0.228), ('IEHS', 0.116), ('XLV', 0.08), ('DIA', 0.077), ('IYH', 0.072)]",0,0
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,52,"[('EWT', 0.23), ('AIA', 0.123), ('EMSG', 0.109), ('XCEM', 0.104), ('KEMX', 0.101)]",0,0
XTSLA,BlackRock Cash Funds Treasury SL Agency,51,"[('CCRV', 0.242), ('GNMA', 0.2), ('SHV', 0.098), ('COMT', 0.078), ('IBHB', 0.078)]",0,0
PG,Procter & Gamble Co,51,"[('XLP', 0.155), ('VDC', 0.137), ('FSTA', 0.136), ('IYK', 0.104), ('KXI', 0.087)]",0,0
HD,The Home Depot Inc,50,"[('RTH', 0.116), ('XLY', 0.087), ('IEDI', 0.074), ('IYC', 0.074), ('FDIS', 0.063)]",0,0
CSCO,Cisco Systems Inc,49,"[('IYZ', 0.241), ('LTL', 0.167), ('IGN', 0.087), ('CIBR', 0.059), ('DJD', 0.054)]",0,0
PYPL,PayPal Holdings Inc,49,"[('PNQI', 0.083), ('IYJ', 0.069), ('FINX', 0.065), ('IPAY', 0.064), ('SHE', 0.064)]",0,0
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,47,"[('EWQ', 0.111), ('FEZ', 0.059), ('IQDG', 0.048), ('IHDG', 0.047), ('HEDJ', 0.04)]",0,0
TM,Toyota Motor Corp ADR,47,"[('EWJV', 0.091), ('CARZ', 0.081), ('DXJ', 0.056), ('BBJP', 0.05), ('EWJ', 0.049)]",0,0
INFY.BO,Infosys Ltd,45,"[('IXSE', 0.093), ('PIN', 0.092), ('INDY', 0.087), ('INDA', 0.086), ('EPI', 0.076)]",0,0
PFE,Pfizer Inc,44,"[('IHE', 0.191), ('IEIH', 0.065), ('FDL', 0.059), ('PJP', 0.054), ('RDIV', 0.054)]",-1,0
BAC,Bank of America Corp,44,"[('KBWB', 0.082), ('IYG', 0.076), ('XLF', 0.076), ('FNCL', 0.064), ('VFH', 0.064)]",0,0
TGT,Target Corp,41,"[('FTXD', 0.045), ('RTH', 0.045), ('SIXA', 0.042), ('SIXH', 0.04), ('VSMV', 0.038)]",0,0
ULVR.L,Unilever PLC,41,"[('HEDJ', 0.061), ('EWU', 0.058), ('HEWU', 0.058), ('IHDG', 0.051), ('IQDG', 0.051)]",0,0
SAP.DE,SAP SE,40,"[('DAX', 0.1), ('HEWG', 0.096), ('EWG', 0.092), ('DBGR', 0.087), ('DXGE', 0.06)]",0,0
09988,Alibaba Group Holding Ltd Ordinary Shares,37,"[('MCHI', 0.132), ('AIA', 0.112), ('KALL', 0.096), ('EMSG', 0.089), ('CHIQ', 0.086)]",0,0
005930.KS,Samsung Electronics Co Ltd,37,"[('EWY', 0.218), ('AIA', 0.11), ('EEMO', 0.086), ('KEMX', 0.072), ('XCEM', 0.067)]",0,0
03690,Meituan,36,"[('CHIQ', 0.101), ('EMQQ', 0.09), ('FDNI', 0.084), ('EEMO', 0.083), ('EWEB', 0.08)]",0,0
INTC,Intel Corp,36,"[('TDIV', 0.077), ('USD', 0.077), ('SOXQ', 0.075), ('SOXX', 0.071), ('VLUE', 0.061)]",0,0
LLY,Eli Lilly and Co,36,"[('PJP', 0.062), ('IEIH', 0.061), ('HART', 0.06), ('PPH', 0.051), ('IHE', 0.047)]",0,0
JD,JD.com Inc ADR,35,"[('EWEB', 0.091), ('KWEB', 0.072), ('ARKQ', 0.07), ('CHIQ', 0.067), ('DINT', 0.054)]",0,0
AZN.L,AstraZeneca PLC ADR,34,"[('EWU', 0.072), ('HEWU', 0.072), ('PPH', 0.052), ('AGNG', 0.034), ('IDHQ', 0.025)]",1,0
00939,China Construction Bank Corp Class H,31,"[('CHIX', 0.092), ('FNDE', 0.031), ('DEM', 0.03), ('PXH', 0.029), ('EMGF', 0.028)]",0,0
CMCSA,Comcast Corp Class A,31,"[('JHCS', 0.061), ('IEME', 0.051), ('EWCO', 0.046), ('IXP', 0.046), ('IYC', 0.046)]",0,0
NOVO B,Novo Nordisk A/S B,31,"[('EDEN', 0.224), ('DNL', 0.044), ('OEUR', 0.038), ('AGNG', 0.034), ('DIVS', 0.031)]",0,0
WMT,Walmart Inc,31,"[('XLP', 0.091), ('FSTA', 0.084), ('VDC', 0.084), ('RTH', 0.083), ('FTXD', 0.063)]",0,0
WFC,Wells Fargo & Co,30,"[('KBWB', 0.081), ('DUSA', 0.062), ('DWLD', 0.061), ('DFNL', 0.058), ('IEFN', 0.048)]",1,0
ABBV,AbbVie Inc,29,"[('FTXH', 0.079), ('FDL', 0.063), ('IEIH', 0.057), ('WBIY', 0.057), ('DHS', 0.054)]",0,0
MA,Mastercard Inc Class A,29,"[('LCG', 0.085), ('IYG', 0.078), ('IPAY', 0.057), ('IYF', 0.048), ('PALC', 0.042)]",0,0
MRK,Merck & Co Inc,28,"[('FTXH', 0.081), ('PJP', 0.057), ('IEIH', 0.053), ('PPH', 0.053), ('DJD', 0.05)]",0,0
DIS,The Walt Disney Co,28,"[('VOX', 0.058), ('FCOM', 0.057), ('PEJ', 0.053), ('IEME', 0.052), ('JHCS', 0.052)]",0,0
BABA,Alibaba Group Holding Ltd ADR,26,"[('ADRE', 0.168), ('CLIX', 0.138), ('ONLN', 0.123), ('GXC', 0.114), ('KWEB', 0.103)]",0,0
COST,Costco Wholesale Corp,26,"[('FTXD', 0.066), ('VDC', 0.066), ('FSTA', 0.065), ('GBLO', 0.052), ('IEDI', 0.051)]",0,0
TMO,Thermo Fisher Scientific Inc,26,"[('IHI', 0.124), ('BUL', 0.052), ('VIRS', 0.052), ('IEHS', 0.046), ('XLV', 0.042)]",0,0
CRM,Salesforce.com Inc,26,"[('IGV', 0.083), ('DIA', 0.049), ('FDN', 0.049), ('PNQI', 0.042), ('CLOU', 0.039)]",0,0
RIO.L,Rio Tinto PLC,25,"[('SLX', 0.146), ('FTRI', 0.098), ('IDV', 0.08), ('IHDG', 0.057), ('IQDG', 0.057)]",0,0
MRNA,Moderna Inc,25,"[('IBB', 0.091), ('PTH', 0.087), ('IEIH', 0.079), ('IBBQ', 0.074), ('BIB', 0.062)]",0,0
FGXXX,First American Government Obligs X,25,"[('CANE', 1028.091), ('CORN', 669.733), ('WEAT', 388.407), ('MSVX', 0.387), ('EUCG', 0.24)]",0,0
CVX,Chevron Corp,25,"[('XLE', 0.2), ('IYE', 0.179), ('VDE', 0.166), ('FENY', 0.165), ('ERX', 0.163)]",0,0
TXN,Texas Instruments Inc,24,"[('FTXL', 0.077), ('SOXQ', 0.077), ('USD', 0.061), ('SOXL', 0.058), ('SOXX', 0.052)]",0,0
FTNT,Fortinet Inc,24,"[('BUG', 0.067), ('PXQ', 0.066), ('PKW', 0.062), ('LYFE', 0.047), ('QQQN', 0.046)]",0,0
SEDG,SolarEdge Technologies Inc,24,"[('TAN', 0.1), ('ITEQ', 0.081), ('ISRA', 0.054), ('CTEC', 0.046), ('XMMO', 0.045)]",0,0
SAN.PA,Sanofi SA,24,"[('EWQ', 0.061), ('HDEF', 0.043), ('FEZ', 0.034), ('HEDJ', 0.033), ('VWID', 0.033)]",0,0
GSK.L,GlaxoSmithKline PLC,24,"[('FDD', 0.062), ('EWU', 0.04), ('HEWU', 0.04), ('EUDG', 0.038), ('IHDG', 0.038)]",0,0
RELIANCE.B,Reliance Industries Ltd Shs Dematerialised,23,"[('INDY', 0.096), ('PIN', 0.093), ('INDA', 0.091), ('IXSE', 0.073), ('EPI', 0.053)]",0,0
QCOM,Qualcomm Inc,23,"[('SOXQ', 0.081), ('SOXL', 0.061), ('SOXX', 0.058), ('USD', 0.055), ('WUGI', 0.054)]",0,0
DLR,Digital Realty Trust Inc,23,"[('VPN', 0.09), ('FPRO', 0.071), ('ERTH', 0.05), ('ICF', 0.05), ('XLRE', 0.045)]",0,0
SIE.DE,Siemens AG,23,"[('DAX', 0.084), ('HEWG', 0.078), ('EWG', 0.076), ('DBGR', 0.071), ('DXGE', 0.062)]",0,0
PLD,Prologis Inc,23,"[('INDS', 0.149), ('REIT', 0.109), ('XLRE', 0.094), ('RWR', 0.093), ('ICF', 0.08)]",0,0
NKE,Nike Inc B,23,"[('IYK', 0.063), ('HART', 0.056), ('XLY', 0.046), ('IEDI', 0.043), ('EDOW', 0.039)]",0,0
AMT,American Tower Corp,23,"[('SRVR', 0.151), ('VPN', 0.133), ('XLRE', 0.131), ('IYR', 0.091), ('GLIF', 0.089)]",0,0
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,23,"[('DWSH', 0.949), ('DBV', 0.442), ('UDN', 0.387), ('UUP', 0.295), ('DBE', 0.271)]",0,0
AVGO,Broadcom Inc,23,"[('FTXL', 0.08), ('TDIV', 0.079), ('SOXX', 0.078), ('SOXQ', 0.077), ('USD', 0.066)]",0,0
DHR,Danaher Corp,23,"[('IHI', 0.106), ('PIO', 0.084), ('VIRS', 0.052), ('FIW', 0.049), ('IEHS', 0.046)]",0,0
ORCL,Oracle Corp,22,"[('IGV', 0.062), ('PKW', 0.056), ('PSJ', 0.056), ('TDIV', 0.039), ('SKYY', 0.037)]",-1,0
AMC,AMC Entertainment Holdings Inc Class A,22,"[('SFYF', 0.072), ('PEZ', 0.045), ('FNY', 0.037), ('VTWV', 0.016), ('FNX', 0.015)]",-1,0
PSA,Public Storage,22,"[('REZ', 0.099), ('ICF', 0.055), ('GQRE', 0.051), ('NURE', 0.051), ('XLRE', 0.049)]",-1,0
VALE3.SA,Vale SA,22,"[('EWZ', 0.19), ('DEM', 0.082), ('GUNR', 0.026), ('XCEM', 0.024), ('MFEM', 0.022)]",-1,0
MRVL,Marvell Technology Inc,22,"[('FPX', 0.082), ('PXQ', 0.057), ('WUGI', 0.057), ('SOXX', 0.044), ('MID', 0.043)]",-1,0
SE.SI,Sea Ltd ADR,21,"[('FDNI', 0.078), ('WUGI', 0.076), ('HERO', 0.073), ('ESPO', 0.067), ('FPXI', 0.066)]",0,0
AMD,Advanced Micro Devices Inc,21,"[('WUGI', 0.086), ('ESPO', 0.081), ('PSI', 0.066), ('FIVG', 0.057), ('TENG', 0.055)]",0,0
IDXX,IDEXX Laboratories Inc,21,"[('PAWZ', 0.105), ('MOO', 0.078), ('LCG', 0.061), ('PTH', 0.046), ('FIW', 0.043)]",0,0
ENB.TO,Enbridge Inc,20,"[('ENFR', 0.104), ('MLPX', 0.094), ('EINC', 0.083), ('TPYP', 0.081), ('GLIF', 0.077)]",0,0
PEP,PepsiCo Inc,20,"[('IECS', 0.104), ('XLP', 0.096), ('VDC', 0.082), ('FSTA', 0.081), ('IYK', 0.064)]",0,0
NIO,NIO Inc ADR,20,"[('QCLN', 0.099), ('KGRN', 0.097), ('FNI', 0.092), ('CHIQ', 0.073), ('SMOG', 0.069)]",0,0
EQIX,Equinix Inc,20,"[('SRVR', 0.156), ('VPN', 0.124), ('REIT', 0.091), ('ICF', 0.083), ('XLRE', 0.077)]",0,0
WELL,Welltower Inc,20,"[('REZ', 0.076), ('FPRO', 0.054), ('ICF', 0.042), ('EWRE', 0.037), ('XLRE', 0.037)]",0,0
EBAY,eBay Inc,20,"[('WBIG', 0.058), ('WBIF', 0.056), ('WBIL', 0.055), ('PKW', 0.054), ('BUL', 0.051)]",0,0
TTE.PA,TotalEnergies SE,20,"[('IXC', 0.063), ('EWQ', 0.058), ('FILL', 0.058), ('GNR', 0.036), ('FEZ', 0.034)]",0,0
GS,Goldman Sachs Group Inc,20,"[('IAI', 0.195), ('DIA', 0.077), ('DDM', 0.054), ('UDOW', 0.047), ('EGIS', 0.043)]",0,0
01299.HK,AIA Group Ltd,19,"[('EPP', 0.074), ('DINT', 0.049), ('AIA', 0.045), ('AAXJ', 0.021), ('IQLT', 0.021)]",0,0
SHOP.TO,Shopify Inc A,19,"[('FDNI', 0.108), ('HEWC', 0.087), ('EWC', 0.085), ('ARKF', 0.057), ('ARKW', 0.051)]",0,0
LOW,Lowe's Companies Inc,19,"[('PKB', 0.054), ('RTH', 0.049), ('WBIF', 0.048), ('ITB', 0.044), ('SXQG', 0.039)]",0,0
ALV.DE,Allianz SE,19,"[('DAX', 0.072), ('EWG', 0.064), ('DBGR', 0.061), ('DXGE', 0.06), ('EUFN', 0.059)]",0,0
KO,Coca-Cola Co,19,"[('IECS', 0.115), ('XLP', 0.099), ('VDC', 0.089), ('FSTA', 0.088), ('IYK', 0.065)]",0,0
NFLX,Netflix Inc,19,"[('FNGS', 0.1), ('JHCS', 0.055), ('PBS', 0.054), ('VIRS', 0.051), ('IYC', 0.05)]",0,0
NPN.JO,Naspers Ltd Class N,18,"[('EZA', 0.208), ('AFK', 0.081), ('EMQQ', 0.047), ('EWEB', 0.04), ('KEMQ', 0.034)]",0,0
ACN,Accenture PLC Class A,18,"[('CIBR', 0.063), ('WBIL', 0.05), ('SXQG', 0.043), ('IYJ', 0.037), ('LVOL', 0.036)]",0,0
DOCU,DocuSign Inc,18,"[('FDG', 0.054), ('MID', 0.054), ('TPAY', 0.053), ('CLDL', 0.042), ('PTF', 0.038)]",0,0
CCI,Crown Castle International Corp,18,"[('SRVR', 0.147), ('VPN', 0.136), ('FPRO', 0.099), ('XLRE', 0.09), ('ICF', 0.076)]",0,0
NTES,NetEase Inc ADR,17,"[('CHIC', 0.102), ('HERO', 0.066), ('ESPO', 0.051), ('EWEB', 0.048), ('KWEB', 0.047)]",0,0
INTU,Intuit Inc,17,"[('FINX', 0.063), ('IGV', 0.057), ('PTF', 0.051), ('SHE', 0.037), ('MILN', 0.035)]",0,0
KR,The Kroger Co,17,"[('GBLO', 0.05), ('FXG', 0.045), ('PSL', 0.036), ('PBJ', 0.035), ('STNC', 0.03)]",0,0
SPG,Simon Property Group Inc,17,"[('ICF', 0.048), ('XLRE', 0.046), ('RWR', 0.045), ('BBRE', 0.038), ('FRI', 0.038)]",0,0
NET,Cloudflare Inc,17,"[('VCLO', 0.247), ('IPO', 0.048), ('PTF', 0.04), ('CIBR', 0.039), ('IVES', 0.037)]",1,0
OR.PA,L'Oreal SA,17,"[('EWQ', 0.057), ('HEDJ', 0.04), ('FEZ', 0.031), ('KXI', 0.028), ('EZU', 0.02)]",1,0
C,Citigroup Inc,17,"[('FTXO', 0.076), ('KBWB', 0.076), ('IYG', 0.036), ('XLF', 0.036), ('SPVU', 0.033)]",1,0
UPS,United Parcel Service Inc Class B,17,"[('IYT', 0.164), ('TPOR', 0.066), ('XLI', 0.048), ('WBIG', 0.042), ('DUSL', 0.036)]",1,0
ENPH,Enphase Energy Inc,16,"[('TAN', 0.113), ('CTEC', 0.081), ('QCLN', 0.075), ('VCLN', 0.074), ('ACES', 0.061)]",2,0
CVS,CVS Health Corp,16,"[('IHF', 0.122), ('FTXD', 0.057), ('NVQ', 0.054), ('GBLO', 0.049), ('SPVU', 0.047)]",2,0
REGN,Regeneron Pharmaceuticals Inc,16,"[('BBH', 0.052), ('BUL', 0.051), ('IBB', 0.043), ('ARKG', 0.041), ('IBBQ', 0.041)]",2,0
BIDU,Baidu Inc ADR,16,"[('CHIC', 0.1), ('FNGS', 0.1), ('ECON', 0.048), ('ARKQ', 0.045), ('KWEB', 0.043)]",2,0
ROKU,Roku Inc Class A,16,"[('ARKK', 0.065), ('PSJ', 0.051), ('ARKW', 0.046), ('IEME', 0.044), ('MRAD', 0.041)]",2,0
SQ,Square Inc A,16,"[('VFIN', 0.161), ('ARKF', 0.101), ('FINX', 0.088), ('IPAY', 0.066), ('TPAY', 0.055)]",2,0
MCD,McDonald's Corp,16,"[('PEJ', 0.053), ('XLY', 0.045), ('DIA', 0.044), ('IECS', 0.044), ('IYC', 0.04)]",2,0
AVB,AvalonBay Communities Inc,16,"[('REIT', 0.068), ('REZ', 0.066), ('NURE', 0.051), ('PPTY', 0.04), ('ICF', 0.037)]",2,0
CROX,Crocs Inc,16,"[('PEZ', 0.048), ('FLQS', 0.011), ('PLTL', 0.011), ('FNY', 0.01), ('SMLF', 0.009)]",2,0
TECH,Bio-Techne Corp,16,"[('PBE', 0.057), ('FRTY', 0.03), ('BFTR', 0.029), ('PTH', 0.028), ('IJK', 0.017)]",2,0
BIIB,Biogen Inc,16,"[('PBE', 0.06), ('PKW', 0.048), ('IBBQ', 0.041), ('PJP', 0.04), ('IBB', 0.037)]",1,0
GME,GameStop Corp Class A,16,"[('FTXD', 0.056), ('SFYF', 0.035), ('SLY', 0.011), ('SLYG', 0.011), ('SLYV', 0.011)]",2,0
DXCM,DexCom Inc,15,"[('EDOC', 0.053), ('SNSR', 0.044), ('BFIT', 0.03), ('AIEQ', 0.027), ('HTEC', 0.019)]",1,0
TWLO,Twilio Inc A,15,"[('LRNZ', 0.068), ('CLOU', 0.046), ('MID', 0.046), ('ARKW', 0.039), ('ARKK', 0.037)]",1,0
NTLA,Intellia Therapeutics Inc,15,"[('GNOM', 0.071), ('DWAS', 0.012), ('XBI', 0.012), ('FNY', 0.011), ('BBC', 0.01)]",1,0
GILD,Gilead Sciences Inc,15,"[('IBBQ', 0.068), ('IBB', 0.064), ('BIB', 0.057), ('PJP', 0.056), ('BBH', 0.054)]",1,0
6758,Sony Group Corp,15,"[('EWJ', 0.034), ('HEWJ', 0.033), ('DBJP', 0.029), ('GENY', 0.029), ('BBJP', 0.027)]",1,0
UNP,Union Pacific Corp,15,"[('IYT', 0.172), ('TPOR', 0.07), ('INFR', 0.05), ('XLI', 0.047), ('FTXR', 0.039)]",1,0
MSTR,MicroStrategy Inc Class A,15,"[('BLOK', 0.064), ('XSMO', 0.042), ('PSCT', 0.037), ('BLCN', 0.018), ('QTUM', 0.018)]",1,0
RMD,ResMed Inc,15,"[('VSDA', 0.032), ('CZA', 0.02), ('BMED', 0.018), ('RYH', 0.017), ('XHE', 0.014)]",1,0
MS,Morgan Stanley,15,"[('IAI', 0.219), ('PWV', 0.04), ('IEFN', 0.034), ('IYG', 0.033), ('XLF', 0.033)]",1,0
TRP.TO,TC Energy Corp,15,"[('MLPX', 0.087), ('EINC', 0.077), ('ENFR', 0.073), ('TPYP', 0.073), ('USAI', 0.07)]",1,0
IBM,International Business Machines Corp,15,"[('DJD', 0.082), ('TDIV', 0.08), ('WBIY', 0.06), ('RDIV', 0.048), ('RNDV', 0.043)]",1,0
ABT,Abbott Laboratories,15,"[('IHI', 0.126), ('IEHS', 0.079), ('PJP', 0.053), ('HART', 0.05), ('VIRS', 0.05)]",1,0
9434,SoftBank Corp,15,"[('FPXI', 0.044), ('IQDG', 0.04), ('IHDG', 0.039), ('LVHI', 0.024), ('EFAS', 0.021)]",2,0
WMB,Williams Companies Inc,15,"[('MLPX', 0.079), ('TPYP', 0.072), ('USAI', 0.072), ('FTXN', 0.07), ('EINC', 0.063)]",1,0
EOG,EOG Resources Inc,15,"[('IEO', 0.097), ('NANR', 0.05), ('XLE', 0.045), ('PXE', 0.044), ('IYE', 0.043)]",1,0
NEM,Newmont Corp,14,"[('RING', 0.218), ('GDX', 0.155), ('SGDM', 0.124), ('IYM', 0.061), ('XLB', 0.054)]",1,0
BMY,Bristol-Myers Squibb Company,14,"[('PPH', 0.051), ('XPH', 0.046), ('IHE', 0.045), ('IEIH', 0.044), ('UTRN', 0.04)]",1,0
AMGN,Amgen Inc,14,"[('BBH', 0.088), ('IBB', 0.077), ('IBBQ', 0.076), ('BIB', 0.064), ('PJP', 0.054)]",1,0
HON,Honeywell International Inc,14,"[('PPA', 0.053), ('XLI', 0.049), ('DIA', 0.043), ('UTRN', 0.04), ('VSL', 0.04)]",1,0
MPC,Marathon Petroleum Corp,14,"[('IEO', 0.08), ('CRAK', 0.07), ('PXE', 0.05), ('RYE', 0.049), ('XLE', 0.042)]",1,0
SNAP,Snap Inc Class A,14,"[('VPOP', 0.233), ('FPX', 0.07), ('MILN', 0.032), ('XNTK', 0.032), ('FDN', 0.031)]",2,0
ZS,Zscaler Inc,14,"[('LRNZ', 0.084), ('CIBR', 0.076), ('BUG', 0.071), ('CLOU', 0.045), ('PXQ', 0.039)]",2,0
CRWD,CrowdStrike Holdings Inc Class A,14,"[('VCLO', 0.249), ('LRNZ', 0.097), ('BUG', 0.069), ('CIBR', 0.067), ('PXQ', 0.059)]",2,0
RY.TO,Royal Bank of Canada,14,"[('EWC', 0.074), ('HEWC', 0.074), ('IMTM', 0.018), ('IXG', 0.018), ('TTAI', 0.016)]",2,0
SAIA,Saia Inc,14,"[('XTN', 0.026), ('IJT', 0.012), ('SLYG', 0.011), ('VIOG', 0.011), ('FLQS', 0.009)]",1,0
OMCL,Omnicell Inc,14,"[('PSCH', 0.054), ('EDOC', 0.045), ('XSMO', 0.021), ('IJT', 0.013), ('SLYG', 0.013)]",1,0
SBNY,Signature Bank,14,"[('FRTY', 0.036), ('XMHQ', 0.036), ('PFI', 0.027), ('KRE', 0.016), ('KBE', 0.013)]",1,0
M,Macy's Inc,14,"[('PSCD', 0.047), ('RWJ', 0.023), ('IJS', 0.01), ('SLYV', 0.01), ('VIOV', 0.01)]",1,0
KMI,Kinder Morgan Inc Class P,14,"[('MLPX', 0.082), ('USAI', 0.072), ('EINC', 0.07), ('TPYP', 0.07), ('FTXN', 0.069)]",1,0
BHP.AX,BHP Group Ltd,14,"[('EWA', 0.096), ('EPP', 0.059), ('IQDG', 0.052), ('IHDG', 0.051), ('GNR', 0.045)]",1,0
AMAT,Applied Materials Inc,13,"[('FTXL', 0.074), ('PSI', 0.046), ('SMH', 0.045), ('XNTK', 0.04), ('SOXQ', 0.039)]",1,0
TSM.TW,Taiwan Semiconductor Manufacturing Co Ltd ADR,13,"[('ADRE', 0.221), ('SMH', 0.141), ('GMF', 0.062), ('KOIN', 0.041), ('SOXQ', 0.039)]",1,0
ZM,Zoom Video Communications Inc,13,"[('EDUT', 0.064), ('SXQG', 0.05), ('CLOU', 0.046), ('ARKK', 0.044), ('CLDL', 0.036)]",1,0
TWTR,Twitter Inc,13,"[('FNGS', 0.1), ('PBS', 0.054), ('EWCO', 0.052), ('ARKW', 0.05), ('IEME', 0.035)]",1,0
CRL,Charles River Laboratories International Inc,13,"[('INFL', 0.069), ('BBH', 0.046), ('FBT', 0.037), ('PTH', 0.033), ('PWC', 0.03)]",1,0
FCX,Freeport-McMoRan Inc,13,"[('IYM', 0.067), ('NANR', 0.066), ('XLB', 0.058), ('UYM', 0.056), ('COPX', 0.049)]",1,0
LIN.L,Linde PLC,13,"[('IYM', 0.192), ('XLB', 0.159), ('VAW', 0.122), ('FMAT', 0.121), ('DAX', 0.102)]",1,0
PNC,PNC Financial Services Group Inc,13,"[('IAT', 0.133), ('FTXO', 0.083), ('DFNL', 0.051), ('KBWB', 0.041), ('EQRR', 0.03)]",1,0
MDT,Medtronic PLC,13,"[('IHI', 0.103), ('IEHS', 0.059), ('HART', 0.049), ('FLV', 0.047), ('PWV', 0.035)]",1,0
CGNX,Cognex Corp,13,"[('XMHQ', 0.029), ('XMMO', 0.027), ('ROBO', 0.017), ('IJK', 0.014), ('IVOG', 0.013)]",2,0
MOH,Molina Healthcare Inc,13,"[('XMHQ', 0.043), ('GREK', 0.037), ('XMMO', 0.03), ('RWK', 0.017), ('HLGE', 0.011)]",2,0
SBAC,SBA Communications Corp,13,"[('FPRO', 0.07), ('PSR', 0.068), ('VPN', 0.048), ('SRVR', 0.046), ('ICF', 0.043)]",2,0
ADM,Archer-Daniels Midland Co,13,"[('FTXG', 0.075), ('VEGI', 0.064), ('NANR', 0.062), ('MOO', 0.049), ('PBJ', 0.045)]",3,0
RUN,Sunrun Inc,12,"[('TAN', 0.072), ('ACES', 0.059), ('RNRG', 0.046), ('QCLN', 0.036), ('CNRG', 0.032)]",4,0
DTE.DE,Deutsche Telekom AG,12,"[('DXGE', 0.061), ('DAX', 0.048), ('EWG', 0.044), ('HEWG', 0.043), ('DBGR', 0.042)]",4,0
